-80,250067	-91,267338	-90,821210	-89,834896	-90,236895	-89,534042	-90,740359	-92,623439	-91,606202	-91,058286	-91,650654	-89,839084	-91,537914	-93,495724	-93,261547	-91,494429	-90,526798	-90,019468	-90,614735	-91,037671	-92,525516	-93,842641	-91,036704	-88,386993	-89,855512	-92,112566	-94,392168	-95,136252	-94,819935	-91,123997	-85,938603	-71,536879	-74,577959	-81,815542	-89,003520	-91,495395	-90,876936	-92,581564	-90,882412	-91,514400	-92,882419	-96,285555	-93,683194	-93,420994	-86,443678	-89,471874	-89,890944	-88,243653	-82,654005	-69,530430	-71,985262	-73,411261	-76,697470	-74,535762	-74,870439	-71,180299	-86,944244	-91,594606	-81,279866	-76,695537	-74,530286	-73,558468	-71,668946	-70,160163	-72,224593	-73,502742	-73,337497	-70,866882	-69,137773	-73,380338	-80,594085	-76,542533	-71,719518	-71,070136	-69,982034	-58,595942	-55,492694	-68,601775	-70,084144	-70,162096	-72,170478	-69,845457	-70,394984	-74,066442	-72,492914	-72,494524	-66,813075	-71,481475	-71,077866	-13,182355	-9,565013	-51,116451	-69,044360	-70,297062	-67,144852	-69,123277	-71,007645	-72,178530	-73,096234	-74,126999
-77,361025	-91,886442	-89,577527	-89,930242	-92,613131	-91,835548	-93,587204	-93,821704	-94,151548	-94,488480	-90,844402	-90,802850	-91,396184	-90,687211	-90,482024	-91,021243	-90,136073	-92,544199	-89,803007	-90,687211	-95,090189	-93,687704	-92,321618	-91,030906	-90,345770	-92,578665	-93,286994	-95,353356	-92,565458	-95,099208	-91,764360	-82,105445	-77,833245	-79,640949	-85,377803	-89,047327	-89,534686	-91,701870	-91,255742	-90,755821	-89,707983	-91,984686	-93,166523	-89,161356	-85,897695	-88,846972	-86,489741	-107,146923	-96,772270	-50,371079	-65,194129	-74,800218	-75,232817	-75,979478	-79,859987	-75,135216	-65,281100	-56,126293	-82,112531	-78,061302	-75,288543	-74,042283	-71,236991	-70,898449	-74,623377	-69,715001	-70,312523	-71,333625	-66,517374	-59,646357	-64,765395	-77,373910	-69,825164	-67,954647	-67,070122	-68,329588	-70,512556	-70,372436	-71,508211	-71,847719	-69,145181	-71,583586	-69,839982	-72,615639	-73,015061	-73,208329	-69,083980	-74,221379	-72,299645	-74,794098	-76,816975	-79,036019	-73,861577	-70,929372	-68,314127	-69,963351	-71,724672	-74,016514	-75,045024	-70,484854
-79,168730	-91,765971	-93,379119	-92,026239	-91,663539	-91,446756	-95,660009	-93,579796	-89,291168	-92,632136	-90,682701	-91,027363	-93,031558	-93,845218	-92,201147	-90,230131	-92,535502	-93,510219	-92,391195	-92,420829	-92,942332	-93,773386	-91,797538	-91,398761	-93,093403	-92,343200	-93,320816	-95,869383	-88,088716	-85,573970	-90,041050	-90,719100	-86,236237	-81,753696	-89,126567	-90,647913	-92,985173	-90,520355	-91,401338	-91,452554	-92,973899	-91,626173	-90,874359	-90,956498	-92,650174	-90,104828	-94,478172	-121,305129	-112,771681	-81,667692	-78,236532	-77,248930	-74,054523	-74,959342	-75,187077	-74,542204	-81,161973	-88,932011	-81,019598	-76,077400	-77,341054	-77,617750	-83,466377	-76,677177	-71,548153	-69,319123	-69,572949	-70,105726	-63,149026	-38,559153	-48,440971	-71,595504	-69,820333	-72,283540	-68,177550	-64,666828	-69,064009	15,340529	32,495364	-26,887669	-68,606284	-68,794399	-67,517216	-71,629004	-70,234894	-70,307691	-67,821614	-71,425750	-62,183006	-52,115649	-63,603529	-75,064029	-74,819867	-70,794084	-70,982198	-70,333783	-72,651716	-71,184808	-71,787162	-71,139068
-76,343789	-92,113854	-91,860672	-91,432905	-91,166839	-91,813322	-89,598143	-85,211592	-81,917974	-91,627140	-89,788834	-89,877416	-91,467371	-92,554506	-92,256229	-96,638592	-92,516497	-89,407129	-92,339012	-92,735535	-93,028658	-93,270566	-93,020284	-91,264761	-91,469626	-93,638743	-97,065071	-96,503948	-88,146052	-86,421453	-90,561264	-88,505531	-82,156661	-81,967902	-84,146038	-87,831991	-87,775298	-91,068594	-93,210653	-91,198406	-91,001916	-91,460285	-88,174076	-87,102724	-90,528086	-91,238670	-101,496074	-112,875079	-107,160452	-78,998654	-76,084809	-81,505990	-81,371991	-76,974810	-74,015225	-78,514838	-82,972898	-83,411940	-77,218973	-75,435749	-78,714227	-81,462183	-74,951934	-89,053126	-70,883309	-68,068032	-72,024238	-76,071280	-78,437853	-73,553314	-71,420596	-71,169669	-71,076578	-67,215717	-70,947732	-66,855594	-65,884420	-4,336457	23,951930	-34,616476	-71,023751	-68,177550	-68,743183	-70,176591	-70,938391	-70,567315	-73,378406	-70,080601	-69,692131	-75,949843	-78,004932	-73,546227	-73,371319	-70,324119	-70,396917	-73,500165	-74,514180	-71,531403	-72,997023	-72,316395
-78,555425	-91,199372	-90,471394	-93,604921	-92,448853	-92,225306	-92,952962	-87,981774	-78,617593	-82,010421	-87,119474	-91,560462	-92,841510	-93,068923	-95,530519	-88,491680	-86,964215	-90,669494	-94,180861	-95,407794	-92,329026	-92,098071	-91,805591	-92,692371	-93,900299	-93,152028	-96,741024	-94,830243	-93,439998	-89,227067	-91,920264	-88,115451	-83,638064	-76,538990	-79,768829	-86,252665	-91,478001	-92,735857	-90,145737	-91,821052	-92,251397	-91,088243	-92,097426	-93,235456	-91,344001	-91,113690	-110,436353	-107,979588	-95,262198	-69,723054	-75,563306	-85,227375	-87,500213	-89,617148	-77,987860	-76,816974	-81,766259	-80,809580	-74,915535	-75,965305	-73,364233	-68,645260	-84,594743	-81,478611	-73,071109	-71,364870	-72,966744	-71,233770	-29,690062	-69,026321	-77,357160	-68,797298	-65,212812	-66,977353	-66,366947	-66,691638	-66,667157	-68,465520	-69,718867	-72,603399	-72,444597	-72,139555	-69,102018	-69,678602	-69,159032	-70,069971	-69,120378	-70,031317	-69,975914	-73,740462	-74,443315	-72,791514	-70,652031	-70,882665	-71,553307	-69,338450	-76,002348	-70,708723	-70,969314	-70,591474
-78,130556	-94,099044	-94,460456	-95,282813	-96,287810	-95,796908	-91,711534	-84,845670	-80,724219	-87,982418	-91,081156	-94,190202	-92,710732	-94,077462	-92,806722	-80,791219	-83,015739	-85,609403	-93,987592	-93,316629	-93,532767	-94,380572	-94,706551	-94,324846	-93,991458	-95,190689	-97,470613	-96,963605	-92,895947	-77,988826	-86,064228	-93,388460	-90,654033	-84,381181	-82,806043	-81,448332	-81,305635	-91,039281	-91,822341	-91,910922	-91,571414	-90,717167	-91,838125	-92,287796	-92,494271	-93,687704	-100,009839	-94,293279	-92,060706	-81,304991	-80,354110	-83,416450	-86,262650	-78,022648	-74,382436	-78,787347	-79,630320	-77,065002	-75,472148	-75,024087	-76,755129	-75,345235	-79,748536	-78,825678	-69,572949	-68,174329	-66,417196	-70,735781	-73,526578	-79,037952	-75,640614	-65,838357	-66,373389	-66,873632	-63,281415	-72,150184	-68,329266	-71,708244	-68,993466	-69,918255	-67,361313	-69,551689	-74,095432	-71,784263	-65,488541	-67,975585	-71,020208	-68,812115	-68,313482	-68,274829	-66,554095	-71,300447	-68,490001	-66,900046	-72,003945	-70,468748	-68,927110	-67,872508	-73,575862	-72,902965
-77,036656	-93,342076	-93,819127	-93,355604	-96,035594	-94,014650	-86,901081	-76,399836	-76,050021	-89,673839	-90,291976	-93,049274	-93,435811	-89,169731	-90,042338	-82,647563	-80,952598	-87,893836	-92,841832	-94,042674	-93,363979	-93,644541	-89,713459	-92,669823	-95,364630	-94,355769	-103,209077	-108,916940	-93,507642	-76,952262	-82,949706	-91,010613	-87,859692	-87,341733	-86,531616	-85,211270	-89,841339	-93,127225	-94,904329	-91,820408	-90,870494	-91,339170	-91,888696	-90,425010	-90,284568	-90,098064	-92,929125	-82,523227	-91,021565	-80,845012	-73,918591	-78,274541	-80,606326	-76,385986	-74,115081	-78,539963	-75,887997	-75,895084	-76,085131	-76,730648	-75,961761	-77,916994	-74,310282	-77,416751	-70,606935	-72,433645	-73,289180	-71,957560	-71,114265	-71,263404	-73,726933	-67,133256	-69,891198	-48,258977	-2,870515	-62,381428	-71,480831	-72,593736	-73,890567	-73,339430	-64,485156	-69,735617	-71,471812	-71,648975	-72,279996	-71,683763	-68,735130	-70,735137	-71,827748	-71,331692	-70,201716	-60,413632	-63,829975	-70,533171	-71,114587	-68,683592	-72,243597	-70,838858	-72,697134	-74,309638
-78,152460	-94,282327	-92,731025	-91,707990	-92,987428	-94,514249	-87,450285	-80,716811	-81,472813	-88,655959	-89,841983	-94,603475	-93,790459	-92,666602	-89,536941	-84,121235	-84,240740	-88,479440	-92,118686	-92,821217	-94,609273	-94,067155	-93,038644	-91,360107	-92,364781	-96,051700	-95,037040	-87,549174	-83,068888	-68,511905	-73,426723	-92,345132	-94,656301	-86,960672	-83,942784	-92,372834	-91,281833	-93,307609	-97,773400	-93,586882	-89,504407	-93,193259	-93,759536	-95,385246	-89,696387	-92,355440	-90,977113	-86,626961	-88,325147	-80,257154	-73,186103	-56,804343	-62,622691	-55,879553	-50,205835	-69,569406	-77,179997	-74,948390	-73,687313	-71,684085	-77,337511	-74,279037	-75,465061	-70,540258	-68,934197	-70,481311	-75,817132	-68,381449	-69,342637	-68,459078	-69,262431	-69,319767	-66,326682	-51,781939	-28,706325	-66,275144	-71,165481	-70,091231	-70,096707	-71,112655	-65,398994	-66,346331	-69,518834	-70,460051	-67,306231	-69,726597	-71,251808	-71,841921	-70,742545	-71,451519	-70,557652	3,529571	9,527981	-77,077243	-68,132776	-71,241178	-70,875901	-76,474567	-73,910860	-50,281532
-32,098511	-91,280223	-93,407787	-92,998702	-93,322105	-91,093719	-93,114663	-89,474451	-87,169402	-89,237375	-92,267181	-91,955374	-94,044284	-92,406656	-89,110140	-86,302270	-87,962447	-89,098221	-90,927830	-93,293436	-92,673689	-92,962625	-93,200345	-90,824431	-93,250917	-93,433556	-95,185535	-95,776615	-78,290002	-59,878601	-65,912443	-84,759343	-89,678671	-93,494113	-91,462217	-86,143468	-91,688986	-87,109811	-92,074234	-89,964708	-88,776429	-93,814295	-95,093410	-96,214368	-93,873564	-93,471565	-94,088092	-95,297631	-93,344653	-88,567055	-78,142474	-51,166057	-58,528942	-61,115841	-61,477253	-95,195843	-89,222558	-77,766245	-72,838864	-72,318328	-73,806495	-71,428327	-71,918906	-69,412536	-63,221824	-52,761810	-66,049664	-68,237141	-69,947890	-67,849316	-67,829023	-68,438463	-67,774908	-66,992814	-71,971089	-74,284191	-73,240541	-68,939672	-71,336846	-70,335715	-70,036471	-66,943531	-51,971020	-52,522158	-71,420274	-67,723047	-71,866080	-70,397883	-71,966901	-73,255680	-72,739975	-78,759645	-84,757733	-78,833731	-71,885084	-70,963194	-69,733684	-68,521568	-60,324407	16,954640
41,826357	-92,402146	-92,149287	-92,055874	-88,941674	-89,302442	-90,613446	-89,837473	-89,084370	-93,541786	-89,679637	-94,097755	-93,184562	-91,946999	-88,649516	-86,380866	-86,196939	-92,206945	-94,583504	-92,450464	-94,277173	-93,182629	-93,714762	-94,008852	-91,478001	-93,304388	-93,011586	-80,440115	-67,484038	-66,791493	-76,319630	-102,644411	-104,217939	-98,670488	-95,234496	-86,590240	-85,072438	-86,642745	-89,578494	-77,323016	-72,848528	-79,828742	-83,462190	-82,648207	-84,759666	-90,815090	-91,329184	-92,935568	-91,324997	-84,864675	-86,463650	-82,011065	-82,967744	-73,131666	-52,038342	-78,090614	-68,328622	-67,739475	-65,628661	-70,821786	-72,013608	-68,118926	-75,897016	-78,926822	-75,460230	-61,820627	-75,227985	-76,890739	-74,374061	-69,710492	-68,691000	-64,855265	-56,498657	-62,728345	-71,172568	-72,250362	-65,290763	-68,579871	-70,528340	-67,377741	-66,114731	-71,556206	-73,671530	-73,565554	-68,643327	-71,305601	-72,055483	-68,669741	-67,111030	-70,698094	-72,442020	-57,879560	-51,958780	-74,788944	-70,627229	-70,979621	-67,747850	-66,621739	-61,093293	-63,587746
