-152,558977	-153,448979	-152,041984	-154,937468	-153,215446	-151,725990	-151,585548	-153,806525	-153,582978	-155,136535	-151,496323	-155,102713	-151,813283	-154,595383	-151,584260	-154,581532	-153,190643	-151,874163	-153,865150	-153,379080	-154,761272	-154,727772	-152,246204	-154,826983	-153,660930	-153,558820	-153,035384	-152,447204	-154,382466	-151,906374	-154,143457	-151,609063	-153,310792	-153,130730	-153,353633	-153,016057	-152,634674	-153,955342	-152,708760	-153,780756	-154,216255	-153,431907	-153,043115	-153,665439	-153,800405	-153,217701	-152,081926	-151,405486	-154,365071	-152,447848	-153,064697	-151,989802	-152,285824	-152,439473	-152,810226	-150,794436	-151,673485	-153,178725	-153,329474	-153,026687	-154,998026	-152,832130	-152,208195	-152,120258	-151,659312	-153,171638	-152,282603	-152,685890	-154,508734	-153,264085	-153,756276	-153,597473	-152,617280	-152,014604	-148,503238	-152,597631	-150,408865	-151,167122	-154,419509	-153,296297	-154,057130	-153,151345	-152,376983	-152,073229	-154,000438	-153,559464	-151,481505	-153,344614	-153,182912	-154,323519	-153,941491	-153,673492	-152,326411	-153,730184	-152,939716	-152,719068	-153,608747	-153,355888	-153,366517	-153,726963	-154,844377	-152,729376	-152,255546	-154,257485	-152,150214	-151,899932	-154,048755	-153,568483	-154,531604	-155,111732	-153,360075	-153,918299	-153,453810	-153,983366	-153,831006	-154,445278	-152,566386	-153,581046	-153,311114	-153,848722
-153,685733	-154,217865	-153,091432	-154,416288	-155,012521	-154,606657	-154,270370	-155,333991	-153,911535	-151,841951	-154,552220	-153,023788	-152,710371	-154,229139	-154,245245	-154,200149	-155,582663	-153,059865	-154,016866	-155,824571	-153,226398	-152,289690	-153,527252	-152,714558	-152,282925	-152,832130	-153,725031	-152,416281	-155,101102	-154,694272	-154,058097	-153,261830	-154,941334	-151,788802	-154,366038	-153,189033	-152,761265	-155,055362	-152,120902	-153,673492	-151,127180	-152,755467	-153,150379	-153,568161	-153,373604	-152,205296	-152,235253	-152,672684	-154,694594	-152,533852	-153,009615	-154,092241	-152,267464	-149,898314	-152,946158	-151,437376	-153,482156	-154,234293	-153,409681	-152,883990	-155,299203	-153,051168	-151,951792	-152,788000	-153,633550	-153,248624	-153,717944	-154,708123	-151,751759	-152,167286	-151,846783	-153,437705	-152,158911	-152,615347	-151,227035	-151,545606	-150,266813	-152,338973	-152,672039	-150,337034	-152,730986	-154,467182	-155,240578	-153,190965	-153,492464	-153,764651	-154,034904	-152,346382	-154,670758	-153,022177	-153,218345	-151,593923	-154,099971	-153,998183	-154,323519	-152,904284	-154,456230	-153,048269	-154,700392	-153,346869	-152,609549	-152,330598	-153,150379	-153,911213	-153,296297	-154,037803	-153,854520	-155,240900	-153,431907	-154,951963	-154,810233	-151,982071	-154,485220	-152,600208	-153,700872	-154,206269	-153,589421	-153,180335	-154,467826	-154,006880
-153,290176	-153,765939	-153,589098	-155,436101	-152,765775	-152,392122	-152,922000	-153,957597	-155,206112	-152,510982	-153,828751	-152,489078	-152,531275	-155,052785	-154,360884	-150,750306	-154,441735	-153,482479	-152,823755	-153,154566	-152,272618	-155,237357	-154,439802	-152,872716	-153,439960	-152,347026	-153,201273	-152,006874	-152,290012	-151,876739	-153,609714	-152,388579	-153,208682	-152,794443	-152,614381	-151,782038	-154,125741	-152,614703	-152,853712	-152,822145	-151,557846	-153,766905	-154,845988	-152,379882	-152,443660	-152,272940	-151,628389	-152,206584	-152,838894	-152,701996	-152,711337	-153,529185	-153,386166	-152,522578	-152,457511	-153,845501	-151,714072	-151,741129	-152,941971	-153,561397	-151,629034	-152,136363	-151,074031	-152,173084	-153,346224	-150,350885	-152,642083	-150,288717	-152,471040	-150,120895	-149,904434	-150,827614	-151,493101	-150,082886	-150,123150	-152,727121	-152,564131	-153,461863	-152,108017	-153,565584	-151,252160	-151,404520	-152,664953	-151,030223	-153,470238	-154,405658	-153,593286	-154,450110	-152,748703	-152,676549	-151,792990	-155,324005	-152,130888	-151,224780	-152,867241	-153,354599	-151,681216	-152,268752	-153,047624	-153,542070	-153,070172	-153,317556	-153,412258	-154,178567	-153,062764	-153,477325	-153,059221	-153,103672	-151,900898	-153,880934	-154,883031	-153,427397	-151,724702	-150,964834	-153,469272	-152,445271	-153,564940	-152,424334	-153,430618	-155,598125
-151,196112	-153,037639	-152,545448	-154,263283	-150,696835	-152,946481	-154,208202	-151,525635	-151,752725	-153,534661	-153,245080	-151,812639	-152,673650	-153,245725	-153,936015	-152,750957	-153,881256	-151,123959	-153,836160	-152,841149	-153,820698	-153,740814	-153,651266	-153,705059	-153,209004	-152,495521	-152,919423	-151,229290	-152,601496	-152,238474	-152,351858	-153,347191	-152,339618	-152,689111	-151,644817	-155,417096	-153,642569	-152,540617	-153,064697	-152,504862	-150,359582	-151,716004	-153,602627	-154,305480	-152,406939	-152,008484	-153,347835	-152,664309	-152,817313	-151,258924	-152,221079	-152,710371	-151,228646	-150,584095	-153,301128	-151,985936	-152,060022	-152,934562	-153,594896	-151,908629	-152,585713	-152,481026	-151,595212	-152,901707	-152,681059	-150,529980	-152,103186	-152,668174	-151,670908	-150,815695	-152,110916	-151,529178	-151,760778	-151,228646	-153,038927	-152,219469	-154,244923	-153,004461	-152,154080	-150,551240	-154,252009	-152,282281	-151,838086	-152,907505	-151,151983	-152,875615	-152,579593	-154,458162	-153,317878	-152,871750	-153,313047	-151,170987	-151,762389	-153,015735	-155,231559	-154,012034	-155,524682	-152,027811	-152,571862	-152,488112	-152,634996	-152,419824	-156,333833	-153,435450	-151,707307	-154,329639	-154,104803	-154,406302	-155,747585	-153,794285	-154,073880	-154,896882	-154,536436	-153,573959	-153,802982	-153,410003	-154,097072	-153,688632	-153,635161	-153,022822
-152,631775	-153,153922	-155,061160	-153,929573	-152,701996	-151,941484	-152,722289	-153,136528	-152,311271	-153,746290	-153,625175	-154,182433	-154,347677	-153,799439	-153,680257	-151,353948	-152,419824	-153,513724	-154,424018	-152,718746	-153,279225	-154,008491	-150,204001	-155,605855	-152,684924	-154,641445	-153,039894	-153,456709	-153,152634	-152,589256	-153,301450	-153,729540	-151,104632	-152,621790	-151,688625	-152,872716	-152,852745	-154,396317	-153,325609	-152,383747	-153,936660	-150,485528	-153,014125	-153,264407	-152,996408	-152,799597	-152,433353	-153,686055	-152,450425	-152,086436	-151,839052	-154,521941	-152,244594	-151,766576	-153,610680	-151,815860	-151,512106	-153,036995	-152,204652	-151,394212	-150,652061	-151,735653	-151,563322	-151,819403	-152,874649	-153,364907	-151,101411	-150,740643	-149,865781	-150,429803	-151,397434	-153,000918	-153,285023	-153,956953	-153,246047	-152,514848	-152,971928	-153,815223	-153,977246	-155,493437	-154,739690	-153,482479	-155,400991	-153,090466	-153,643536	-151,120093	-151,623236	-152,922322	-153,499551	-154,599893	-154,325129	-154,037481	-153,519200	-153,945679	-152,812803	-154,191774	-153,075326	-152,664631	-152,907505	-152,567352	-153,464440	-154,156019	-154,767070	-154,079678	-152,456223	-152,043917	-152,658511	-155,200958	-153,363618	-153,948900	-152,955500	-153,720199	-152,559944	-155,419673	-154,743556	-153,719233	-154,508734	-152,944226	-151,858701	-153,023466
-154,540302	-154,861449	-154,682998	-153,461863	-153,627752	-153,204494	-154,564138	-153,113658	-153,107860	-152,256834	-154,019121	-151,776562	-153,799117	-150,983195	-154,406946	-154,060996	-154,406946	-155,023473	-153,816511	-154,265538	-155,128804	-154,394384	-151,168410	-155,121718	-153,782689	-153,398407	-154,660450	-154,728416	-151,813283	-153,105283	-153,787843	-153,671238	-153,448979	-153,492142	-153,325931	-153,884155	-154,244601	-153,176148	-153,147802	-152,115426	-153,679612	-153,003173	-151,680250	-152,854678	-153,975313	-153,927318	-154,860161	-153,486988	-153,285667	-153,113336	-153,223821	-151,662211	-151,106564	-153,469272	-153,418378	-152,074840	-153,104639	-152,951957	-151,533366	-152,075484	-150,262625	-151,438020	-153,285345	-149,901213	-152,104796	-152,643371	-153,845501	-153,291143	-153,811357	-153,033451	-150,391149	-152,226878	-151,465078	-151,560101	-153,357176	-153,147480	-153,134273	-152,795731	-153,234451	-152,628232	-156,014296	-154,586042	-154,417576	-154,388586	-153,787199	-152,369896	-155,033780	-154,108346	-152,725188	-153,590709	-153,168739	-153,919588	-152,763198	-153,476036	-153,133951	-151,665433	-153,600695	-153,395508	-153,331407	-153,058898	-155,090150	-154,282610	-152,116070	-154,439480	-152,847592	-155,429015	-154,156341	-154,390841	-155,018963	-154,348966	-153,400339	-153,841958	-153,524031	-153,039894	-153,491498	-153,079192	-153,887054	-153,743391	-152,027811	-153,694752
-152,720679	-154,457840	-152,330276	-153,085956	-153,695074	-151,594890	-153,955664	-153,159076	-154,298072	-152,939394	-154,179212	-154,206269	-153,912823	-153,679612	-152,960976	-153,411291	-152,675583	-153,409681	-153,168417	-151,392602	-154,552864	-154,057130	-152,683958	-153,407104	-153,493430	-151,515005	-152,498098	-154,503581	-152,428199	-152,638862	-151,255703	-154,687186	-152,953567	-152,575083	-151,204487	-153,046658	-151,616149	-150,433668	-152,115104	-153,578147	-152,493588	-154,290341	-153,285023	-153,058254	-154,528383	-154,890440	-151,592957	-152,893976	-152,734529	-152,550924	-153,660930	-149,989150	-151,805552	-152,233642	-154,180822	-151,418693	-151,995600	-151,191925	-151,392602	-151,278251	-151,806196	-154,891084	-151,408063	-152,184036	-153,609392	-153,899939	-152,794443	-153,900583	-154,694916	-152,405651	-151,412895	-152,882380	-150,820205	-151,353948	-153,655776	-154,077746	-153,986909	-151,552370	-154,421119	-153,730184	-153,232840	-154,545455	-153,604882	-154,660128	-155,226083	-155,135246	-152,552857	-153,277936	-153,870304	-155,628725	-153,649978	-152,429809	-153,050201	-151,237021	-153,042149	-156,291636	-154,420475	-154,262961	-154,624373	-153,361364	-152,752890	-152,676549	-154,722296	-152,191123	-153,594896	-154,097072	-152,840183	-154,893661	-153,120100	-154,021376	-152,954211	-154,221731	-153,471527	-153,620343	-153,803304	-153,150701	-153,183879	-154,254586	-154,046823	-152,816669
-152,393088	-151,966931	-153,408070	-153,403239	-154,302903	-155,459615	-153,355244	-154,397927	-153,877068	-153,161653	-152,289690	-151,798144	-151,999787	-153,150379	-153,665117	-152,665275	-153,006716	-150,669456	-152,510660	-152,810226	-152,505506	-154,267793	-150,877219	-152,936495	-151,820692	-150,966445	-148,897505	-150,712297	-153,354599	-151,609707	-151,620337	-149,294994	-151,983681	-151,483438	-151,633865	-151,960811	-154,362172	-154,424663	-154,625018	-154,563816	-152,541905	-151,318838	-153,677036	-152,741616	-153,275681	-150,719705	-151,625812	-153,537882	-150,881729	-152,666886	-152,382459	-153,032485	-154,133471	-151,829067	-150,122184	-152,090945	-151,299189	-150,525148	-151,296612	-151,468621	-151,460246	-152,198209	-153,326575	-152,944226	-151,758201	-154,767392	-152,316747	-152,817957	-154,316432	-151,816182	-151,400010	-152,239118	-153,133629	-151,455414	-153,362008	-153,473782	-150,516451	-153,318845	-152,771895	-152,843726	-151,755302	-154,007847	-153,374570	-156,028469	-153,131696	-153,345258	-152,865308	-152,884957	-155,777220	-154,559628	-154,061962	-155,345587	-153,363296	-154,505513	-153,807492	-153,725353	-153,344292	-153,823598	-152,043917	-153,398407	-153,632584	-152,762231	-155,371356	-153,537560	-151,708918	-152,177594	-152,207873	-151,629356	-153,755309	-154,760306	-152,168897	-153,622598	-153,215124	-153,657064	-153,289532	-152,244272	-154,558984	-152,921678	-153,415479	-154,147966
-150,705532	-152,589578	-151,776240	-153,611969	-153,345258	-155,409043	-153,533051	-153,056966	-152,182426	-153,420955	-153,163586	-152,831486	-151,784293	-154,939401	-152,766419	-151,415150	-152,195632	-151,872874	-151,524991	-153,474748	-151,548505	-151,170021	-152,421435	-153,003817	-149,963381	-151,762389	-152,093844	-151,602942	-150,709720	-151,111718	-153,679935	-153,320777	-154,684609	-153,500517	-151,488270	-152,096421	-152,126378	-152,450425	-152,655934	-151,954691	-152,088368	-150,910075	-153,335272	-152,644660	-152,274228	-152,463309	-153,632584	-153,477647	-153,733406	-152,022335	-152,071619	-154,636614	-151,522736	-150,665912	-153,263119	-150,548985	-151,222848	-153,515012	-152,720356	-152,917812	-150,624360	-152,182426	-152,283248	-153,145869	-152,885923	-156,198223	-152,419502	-153,828429	-155,244443	-152,529343	-151,266977	-152,885601	-151,458635	-151,676062	-154,067438	-152,147315	-153,982400	-152,155368	-154,230750	-152,232676	-153,651266	-153,957919	-152,166320	-154,462350	-150,573143	-152,139262	-151,533688	-154,398249	-153,655776	-153,275037	-151,951792	-151,555914	-153,497940	-153,503094	-152,117359	-151,697000	-152,744515	-152,975149	-153,237672	-153,743069	-153,370061	-153,490854	-154,047145	-153,005105	-154,388586	-153,181624	-154,007847	-152,448814	-152,167609	-152,725188	-153,207715	-152,716813	-153,892530	-155,019930	-152,515170	-152,978048	-153,089821	-153,256032	-153,578147	-154,347033
-153,452522	-152,022657	-154,036193	-154,580566	-153,014125	-154,090308	-154,049077	-154,769325	-153,105283	-154,941656	-153,847434	-154,800892	-154,798315	-150,850806	-151,296612	-150,749340	-150,502600	-151,266333	-150,857892	-152,147960	-151,069199	-153,271172	-151,563967	-150,797335	-151,760134	-151,732432	-150,720027	-149,935035	-153,146514	-153,576858	-153,279225	-154,961627	-153,975958	-153,397763	-152,609227	-154,080323	-152,653357	-154,210135	-153,662540	-152,623722	-152,095777	-152,123801	-154,337692	-153,656420	-153,664473	-152,670429	-155,967912	-152,407584	-154,400182	-152,664953	-152,741294	-153,108826	-152,118003	-153,086600	-152,959365	-152,915236	-151,182261	-151,012185	-153,987554	-152,533208	-151,151660	-152,240728	-153,521132	-155,046343	-154,723585	-153,972092	-153,229297	-151,290170	-150,443331	-152,003008	-152,291623	-155,499558	-153,740170	-153,731795	-156,677851	-153,158110	-155,514697	-153,214480	-152,503252	-154,562850	-151,275674	-152,951634	-153,869338	-153,945035	-153,217057	-153,157143	-153,284700	-154,955829	-153,700228	-153,698617	-152,997697	-153,738881	-153,313369	-154,521619	-151,527568	-152,677837	-153,595219	-152,591189	-153,098519	-154,001082	-152,920389	-153,663507	-154,107380	-152,960976	-153,911535	-151,875773	-151,487948	-154,148611	-154,312889	-152,880125	-153,859030	-153,269561	-155,606499	-155,218996	-153,641603	-152,954211	-152,454290	-153,885443	-153,512113	-152,973860
