-328,218180	-339,351419	-341,683205	-338,249143	-336,224977	-334,249449	-335,588157	-337,663862	-340,108066	-339,171357	-339,848763	-337,112724	-336,001107	-335,788190	-336,461086	-336,910114	-335,990799	-333,991113	-334,716837	-336,782235	-337,366550	-335,938295	-335,214504	-334,887558	-335,251225	-334,594434	-335,741805	-335,469941	-335,166509	-336,031064	-333,308231	-334,041363	-335,323378	-328,732596	-329,826497	-330,300327	-328,340905	-328,714236	-330,588297	-333,069544	-333,528879	-331,712476	-332,431758	-333,572687	-333,433533	-333,160380	-331,184853	-329,192898	-313,960431	-314,469050	-309,736868	-302,155906	-296,617150	-299,353834	-295,390539	-297,381527	-308,914188	-316,417520	-313,019535	-304,555014	-308,178156	-319,281116	-312,633320	-310,763768	-313,531375	-311,689525	-313,677293	-321,761075	-323,527872	-326,616949	-326,423358	-329,796540	-331,220930	-329,882867	-327,404519	-325,335256	-322,319621	-325,605832	-325,542053	-322,865605	-321,816801	-320,330243	-321,619989	-324,014909	-325,073377	-322,986076	-318,019717	-322,071593	-331,258939	-328,060344	-321,360687	-320,704540	-323,914087	-326,951948	-330,959051	-335,765320	-331,510833	-330,257486	-336,664663	-338,430494	-340,759381	-337,238993	-333,049895	-327,257957	-330,672691	-324,665258	-330,425307	-344,317779	-345,182334	-341,543729	-338,070370	-345,631039	-344,100996	-343,210349	-337,661607	-327,286625	-319,456669	-316,218775	-318,060303	-316,025185	-323,067249	-327,289202	-324,342178	-320,134075	-329,014769	-330,279712	-327,061789	-321,857387	-321,153245	-324,757061
-326,661401	-340,444353	-336,928797	-335,396498	-335,173273	-338,045245	-337,443213	-337,171671	-338,717498	-339,145588	-336,455611	-336,037828	-337,557242	-338,364138	-336,189222	-335,623911	-337,789486	-337,593641	-337,030263	-335,324667	-335,315004	-336,435962	-336,711369	-336,793186	-332,764180	-331,800091	-331,377155	-331,171324	-333,692513	-334,178262	-331,901557	-332,511642	-331,738890	-326,617593	-328,558654	-332,634690	-331,717630	-327,331399	-327,681215	-334,438530	-333,477663	-333,161347	-332,769978	-331,915086	-332,773199	-334,917837	-331,640323	-325,381318	-318,010375	-319,251160	-319,470520	-315,609335	-305,820601	-302,718640	-311,167700	-310,039333	-305,432776	-308,853308	-318,753493	-312,428133	-310,442942	-305,411194	-310,205866	-310,508332	-308,507035	-309,960415	-319,630610	-323,845477	-325,306588	-325,025704	-328,314492	-327,951791	-328,375049	-326,051316	-325,380996	-327,565254	-327,601975	-326,566699	-324,757383	-322,305770	-319,598399	-317,192527	-322,192708	-322,441380	-322,916177	-319,694067	-319,789413	-324,791849	-327,229611	-326,604387	-326,603742	-330,062929	-329,980467	-323,662838	-318,538965	-325,847096	-338,326773	-335,475417	-329,026687	-327,825200	-320,263887	-326,643040	-326,979972	-329,337849	-326,405964	-325,586827	-326,586670	-330,527740	-333,219327	-327,002198	-321,564907	-325,193848	-332,966146	-335,440950	-335,231898	-333,115929	-310,288006	-308,070893	-312,028390	-312,951570	-320,886857	-321,988488	-320,411094	-321,958209	-329,936982	-328,597631	-326,290969	-322,548322	-320,583425	-318,198490
-327,346216	-335,543705	-335,535008	-337,969870	-336,150568	-337,521809	-338,925584	-339,248020	-338,358984	-337,428396	-336,264919	-336,831518	-337,260896	-337,551122	-336,779013	-336,584778	-337,916399	-337,395218	-339,305679	-337,330473	-336,052968	-335,834574	-337,698650	-335,199042	-334,140575	-336,018179	-332,755161	-329,112691	-332,121239	-335,120446	-335,659344	-334,574785	-331,830370	-329,368772	-329,976924	-327,562677	-328,290977	-328,558010	-329,337849	-331,951163	-333,743085	-333,649672	-334,270387	-329,961785	-329,825852	-331,683486	-333,468322	-324,097048	-311,338098	-312,052226	-313,954633	-314,150479	-309,007923	-305,554857	-311,933688	-309,935934	-305,711727	-300,017389	-307,198929	-314,704193	-308,918697	-307,086511	-308,441324	-303,094548	-307,626697	-313,632197	-324,726782	-326,135066	-322,279679	-321,340716	-324,217841	-326,179196	-329,000273	-329,171960	-326,057436	-327,289524	-326,317383	-317,215397	-317,407055	-318,257759	-322,855942	-331,574934	-330,620187	-325,938898	-322,682000	-327,299187	-322,847245	-325,453472	-322,727418	-325,405799	-324,712287	-328,901062	-330,433038	-332,526137	-335,654190	-333,665778	-333,294380	-329,241537	-328,954533	-331,313699	-332,886261	-330,457197	-323,832915	-325,362636	-332,423061	-334,131555	-327,812960	-326,080951	-324,795392	-321,300129	-324,458461	-329,563007	-326,401455	-323,110090	-329,067595	-322,652044	-310,642332	-302,233858	-304,783072	-310,996335	-318,871065	-319,385804	-316,667803	-314,496108	-319,723380	-322,893951	-319,778461	-325,973042	-325,484073	-322,715500
-327,678960	-336,980979	-336,139938	-335,112071	-334,840851	-333,972431	-336,386034	-336,535817	-337,805592	-337,581722	-335,523412	-336,380880	-336,737461	-337,659674	-337,667405	-337,314690	-337,934760	-338,790296	-338,357374	-337,962784	-335,669329	-332,869833	-336,261698	-335,670296	-335,327566	-335,973405	-333,255726	-332,859526	-333,302111	-335,474772	-336,634384	-336,880479	-333,896090	-331,084031	-332,001413	-331,651597	-332,237523	-331,291151	-330,130251	-330,155375	-332,767401	-333,724403	-331,514054	-329,137494	-327,333009	-328,028132	-328,150858	-330,166649	-320,522545	-319,325568	-308,849121	-308,792751	-320,886534	-316,002314	-310,368534	-306,274138	-292,961474	-295,531947	-293,412757	-294,625195	-293,336093	-298,455779	-306,118879	-306,810459	-314,271594	-322,918110	-327,988834	-326,487137	-321,907959	-320,525766	-322,729029	-326,903631	-329,120422	-326,074186	-319,997177	-320,022624	-325,007344	-317,459237	-317,681818	-321,308504	-322,281934	-331,263127	-330,942301	-332,829569	-335,061822	-329,668016	-327,358134	-324,939055	-327,740162	-332,620517	-330,572514	-331,311766	-334,005609	-332,209177	-327,201587	-327,709239	-333,345274	-329,824242	-325,236045	-328,237506	-329,549800	-331,890928	-334,711683	-333,687360	-325,919894	-321,498230	-323,642867	-332,708132	-333,231568	-323,066282	-316,028084	-325,541409	-327,782359	-323,299815	-320,453935	-320,420435	-320,287080	-309,631859	-312,895844	-313,044338	-313,087502	-317,205090	-314,729963	-320,229099	-318,548951	-320,979303	-323,019576	-327,929887	-330,787042	-317,466324
-326,116383	-336,796730	-335,735363	-336,402462	-337,370093	-337,778534	-338,548066	-337,787876	-336,465918	-336,517134	-336,793186	-337,498939	-336,033319	-337,479612	-336,540327	-337,730217	-336,951989	-337,612323	-337,019955	-338,531960	-333,219972	-332,851795	-335,176816	-337,193897	-335,221268	-334,370886	-335,015115	-333,876119	-333,294058	-332,015586	-334,932654	-336,746802	-334,519059	-331,073401	-329,845501	-328,000752	-328,152468	-331,647087	-330,872402	-330,525807	-330,845989	-328,892365	-328,328021	-325,854182	-327,131366	-331,464126	-334,842784	-334,710717	-331,073724	-320,390478	-314,689054	-318,159192	-316,220063	-318,107976	-314,305094	-316,493861	-308,384632	-305,560977	-302,212921	-303,032380	-294,849387	-294,786574	-310,681951	-315,674080	-321,470528	-325,853538	-325,059204	-321,745936	-322,758341	-322,384044	-322,622409	-320,163065	-323,856107	-327,997853	-322,352799	-317,889260	-317,131647	-323,390329	-320,209772	-323,754319	-326,620170	-333,695090	-331,443189	-324,236524	-321,747546	-320,898131	-324,308355	-324,201413	-319,925667	-327,505018	-334,454636	-326,648194	-324,412720	-328,931985	-331,335925	-333,415173	-330,652076	-330,542879	-328,438506	-324,066125	-321,717267	-327,839051	-336,317101	-337,499583	-334,502953	-331,855817	-328,121223	-333,560769	-338,968425	-337,775313	-318,403677	-317,347142	-326,841141	-326,621137	-320,527699	-322,794096	-327,704085	-319,785548	-324,560249	-321,249236	-324,257462	-324,716797	-327,388413	-327,996887	-320,549603	-316,546688	-320,959010	-321,104284	-323,379700	-322,225242
-327,309817	-335,299864	-339,027694	-337,644213	-339,312121	-337,997894	-338,391196	-337,440958	-336,617956	-336,427264	-336,223044	-337,223853	-336,266852	-336,111914	-338,042668	-337,171027	-337,937659	-337,717333	-337,784332	-336,000785	-336,050713	-334,888524	-336,139938	-336,973570	-337,140748	-334,864043	-335,764675	-336,490399	-334,162156	-333,011564	-334,262656	-332,570589	-334,299377	-332,330936	-332,629858	-331,167781	-331,020897	-328,445270	-329,631940	-329,695718	-329,942458	-327,730176	-320,139229	-326,226546	-330,272303	-321,251168	-318,019394	-326,661401	-326,381161	-321,847079	-313,746547	-310,788249	-308,337603	-308,946721	-311,270454	-320,699386	-323,156152	-318,350528	-310,529913	-310,933523	-305,717847	-311,280440	-321,531407	-325,552039	-326,122826	-328,988355	-327,050837	-327,995921	-326,146662	-320,820823	-323,298205	-326,590858	-323,817453	-322,679423	-321,014736	-321,183202	-319,446039	-323,663804	-326,561867	-328,589900	-328,344771	-332,933612	-335,387157	-331,006402	-327,994954	-335,307917	-329,591353	-328,751601	-321,521744	-317,011499	-328,215603	-333,472509	-329,446402	-330,426596	-329,829074	-332,741310	-332,711997	-327,418047	-323,036004	-325,489549	-325,410953	-326,514195	-331,048276	-335,384258	-343,507339	-342,187636	-337,808169	-335,948603	-339,247376	-339,523106	-332,452373	-328,358944	-329,961141	-330,937147	-322,296107	-314,877491	-318,369533	-314,163042	-326,055826	-322,056132	-327,413216	-327,958234	-330,319332	-329,750156	-324,523528	-315,871536	-314,888765	-304,780817	-319,734654	-324,392427
-329,685089	-336,926220	-337,928640	-337,581722	-338,642767	-338,071014	-337,408103	-337,632617	-337,002561	-336,544514	-335,908338	-335,506017	-336,300996	-336,271361	-336,345770	-335,843271	-338,660161	-338,498138	-337,370738	-331,567203	-333,269899	-334,299055	-333,867099	-333,087905	-334,716193	-335,317258	-334,356391	-332,185662	-333,560124	-332,656916	-331,662226	-330,253942	-330,357341	-333,016717	-331,689606	-329,971448	-327,737585	-323,676689	-326,455248	-335,531787	-335,847137	-331,506645	-329,928929	-321,577148	-325,049218	-323,040513	-322,524808	-320,077061	-328,405328	-325,586827	-316,909066	-319,344573	-310,572755	-306,786300	-314,628819	-315,508191	-313,436673	-314,476136	-306,123711	-307,658586	-320,542194	-329,230585	-322,215900	-321,165163	-323,850309	-326,972885	-325,631601	-327,633864	-328,924899	-325,818105	-321,876714	-320,490656	-321,950156	-324,708099	-326,834054	-323,379700	-321,510470	-328,627265	-332,667545	-327,837763	-325,578775	-319,143574	-324,714220	-321,074649	-322,258097	-326,545118	-332,541599	-319,988157	-318,057082	-324,095438	-330,707157	-329,412258	-329,452200	-332,070023	-335,916391	-332,344143	-330,180500	-327,697965	-326,337676	-326,730333	-331,101747	-331,960504	-334,605708	-338,414066	-338,055553	-338,389585	-338,962949	-337,050878	-333,164890	-335,785613	-334,523891	-329,963073	-323,324618	-319,631899	-319,662822	-319,511428	-318,789892	-317,591305	-323,493084	-332,473311	-332,607632	-329,990775	-329,826497	-337,363651	-328,958077	-324,614042	-323,929227	-315,618354	-311,329723	-319,376140
-327,078539	-337,600083	-337,785943	-337,992740	-337,590420	-338,539046	-337,469627	-337,631328	-336,791898	-336,283279	-335,729243	-336,300674	-336,389899	-336,072617	-335,836185	-336,195020	-336,280380	-337,375569	-337,339815	-335,299220	-334,585737	-335,128177	-336,172794	-335,561421	-332,276821	-331,105291	-331,529837	-332,974198	-334,321925	-334,637275	-332,316441	-332,455272	-331,072435	-330,776090	-332,298724	-332,006889	-329,837126	-328,961297	-329,699584	-332,073889	-331,850341	-334,661111	-335,808483	-329,520488	-324,905878	-322,343136	-320,888789	-321,177082	-315,926295	-321,395797	-318,975430	-315,235360	-309,428282	-307,340659	-316,039357	-314,586944	-317,987183	-316,888451	-306,122422	-305,803207	-308,030950	-311,511074	-312,798887	-311,906952	-316,903590	-317,166758	-320,500641	-324,201413	-322,156953	-329,058254	-326,822780	-323,219287	-321,695686	-322,501294	-323,256974	-326,102210	-324,710032	-333,311774	-329,979179	-326,686204	-327,218337	-325,779130	-327,549792	-321,614191	-322,695851	-329,454455	-330,497461	-324,759638	-321,305605	-327,356524	-324,204312	-328,205295	-325,085295	-330,139592	-332,584118	-333,753715	-329,461541	-329,006393	-333,235755	-333,459625	-335,654512	-333,634533	-334,662400	-334,204997	-334,117382	-335,333686	-344,239827	-342,067810	-336,438539	-336,585101	-336,631807	-333,446096	-323,785242	-321,071106	-320,237152	-318,676830	-325,918283	-327,397110	-331,099815	-336,030098	-335,447393	-335,067620	-332,067447	-335,875161	-333,139121	-332,000125	-333,415495	-323,666704	-319,482438	-323,389363
-329,964040	-337,611035	-337,171671	-337,137205	-336,951022	-337,591386	-337,286344	-337,077936	-337,132373	-337,399084	-337,431617	-336,184390	-337,418410	-336,312592	-337,380723	-335,468652	-336,669817	-336,548057	-337,534694	-339,209044	-334,656602	-334,463333	-334,902375	-335,982425	-336,847946	-336,085823	-332,875309	-330,950676	-332,754516	-336,234318	-336,058121	-334,620847	-334,989668	-334,310651	-334,226257	-333,793979	-333,729234	-335,756300	-334,265555	-333,766278	-332,949073	-330,221731	-331,924428	-332,177932	-326,295801	-318,142764	-315,448922	-319,973984	-318,344086	-314,306704	-316,387241	-311,088782	-305,946548	-312,078317	-322,561207	-319,725312	-308,213911	-306,080548	-303,725247	-305,257545	-318,049673	-318,433956	-320,391767	-320,902640	-326,499055	-327,403874	-325,124915	-319,780716	-327,194500	-326,745795	-325,370366	-328,382458	-324,501302	-323,603891	-325,236367	-333,080174	-327,848714	-324,504201	-321,026010	-319,979460	-320,476805	-324,975454	-322,268083	-327,491490	-325,922470	-326,508719	-330,251366	-331,499881	-330,598927	-324,625638	-323,844189	-329,271172	-328,575727	-329,567195	-335,822334	-336,053290	-336,414702	-333,941830	-332,926203	-334,664977	-339,013843	-339,219996	-334,424357	-333,136222	-335,863242	-337,376536	-336,008838	-335,534686	-336,167962	-337,973414	-340,425026	-339,645509	-336,199852	-325,987216	-321,916656	-321,542037	-327,941806	-329,525964	-330,976123	-334,181161	-331,587496	-337,775636	-333,788182	-335,659022	-333,563024	-332,219485	-333,227703	-336,164419	-325,323016	-312,636863
-325,830668	-337,689953	-336,988066	-337,416156	-337,458353	-337,757597	-337,314045	-337,594607	-337,984043	-337,713145	-337,336915	-337,392963	-337,760174	-336,339649	-336,103217	-336,443370	-337,925741	-336,349313	-333,474120	-334,708784	-331,394227	-329,719555	-333,181962	-335,572051	-330,080001	-334,787058	-336,621177	-335,026389	-335,504729	-335,495065	-335,452224	-335,929598	-334,885947	-335,152014	-331,507612	-326,856280	-327,295322	-334,992245	-335,560455	-333,394880	-332,503911	-335,593633	-332,513253	-330,788330	-324,535768	-321,451201	-326,600843	-321,567162	-320,099931	-316,715798	-315,072370	-317,140022	-314,769905	-316,706778	-320,035830	-319,666687	-318,982516	-319,740451	-316,295438	-316,011978	-316,161117	-320,374372	-329,322710	-328,382136	-332,299369	-328,233319	-323,863515	-325,578452	-325,626447	-328,556400	-322,291597	-323,898626	-312,856868	-313,665053	-320,488723	-321,273072	-321,858676	-317,994269	-317,117474	-316,383053	-319,703086	-318,997978	-320,888145	-321,024721	-319,481794	-326,083528	-326,973530	-328,926831	-327,163899	-325,013786	-324,641422	-323,966592	-323,669925	-332,274888	-334,730044	-334,227545	-334,334487	-333,656115	-332,000769	-331,668025	-341,268322	-342,146083	-336,119323	-338,195028	-338,784175	-333,924114	-333,932167	-333,938609	-336,455933	-339,912542	-336,254933	-333,959546	-332,306778	-329,914756	-326,982871	-326,948727	-331,182920	-332,437878	-331,750808	-336,134141	-332,705233	-335,331432	-335,898997	-334,787703	-337,571093	-334,668520	-337,768871	-320,627232	-316,472923	-320,123446
