3,437655	-1,779950	0,095721	0,614647	3,376776	1,674402	2,128261	1,980411	0,072207	1,090409	0,847535	1,720142	1,428629	0,113115	1,382889	0,106673	3,084618	0,199120	0,796641	6,228452	11,525619	10,620479	13,972721	9,908284	10,561532	-0,023139	1,348101	0,059322	-1,901387	1,710801	1,685354	1,875402	4,661367	0,364364	1,445701	1,025342	-0,165514	1,963983	0,683579	0,821122	1,185755	0,805338	3,551361	0,093466	2,504168	0,852045	-0,014120	-2,771739	2,485164	-0,708276	1,333283	2,105391	0,826276	-0,725670	3,140344	2,388852	1,581633	-0,400979	0,771516	-0,749507	-0,015086	3,748817	0,802761	2,268059	-0,435768	1,894084	1,234716	0,282869	-1,720681	0,709348	2,838845	1,559085	2,091540	2,371457	0,678103	-0,709242	0,612392	1,879589	-1,462668	-0,423849	-1,326735	2,323140	1,783921	-0,689916	0,989588	2,827571	4,315416	1,002794	1,265962	4,164345	2,238424	4,404964	3,071733	1,703070	0,783112	1,558119	1,204116	-0,603911	1,017612	1,774258	1,440547	0,989265	-0,429969	0,189778	3,997490	1,710157	4,141475	-0,238312	2,858172	3,846096	0,704194	3,706621	-0,517585	0,014226	1,646701	1,538148	2,168848	1,769748	1,407048	3,533967	2,611110	2,281265	1,344558	1,764272	2,124396
2,554418	0,358566	2,810821	0,967040	2,017132	1,005049	-1,749993	-0,556882	-1,484893	2,805989	0,870083	3,051440	0,053846	0,957376	-0,599724	0,618834	-1,461057	3,255016	3,226348	2,627860	4,088004	3,813240	8,407555	3,388694	3,629957	3,028248	4,154037	-0,568479	2,471635	0,347614	0,997963	4,298988	0,098620	-2,089502	4,009730	1,181568	2,711288	3,205411	1,668282	3,651861	0,413648	0,402051	3,378386	2,767980	-0,391316	0,428465	0,540238	2,297693	0,954477	1,215068	-0,658671	2,667802	0,544426	2,351164	-0,023784	-1,294202	1,391908	1,751710	1,761051	1,805181	3,022772	2,419774	2,829826	4,386603	3,930168	3,577131	0,081870	0,494820	1,258875	0,568906	-1,124126	0,795675	-1,104799	-0,817473	3,191882	2,470346	0,219735	0,609171	-0,219629	2,024218	0,999251	2,343433	0,634296	3,028248	3,014075	1,371937	-0,483440	1,743979	2,786018	2,808566	1,101039	-1,253615	2,530582	1,548456	1,920175	-0,427715	1,867671	-0,406133	0,656521	1,445379	3,684395	2,898436	2,020675	3,414463	2,313477	3,491448	-0,036346	2,378544	4,156614	2,632692	1,873469	2,540567	3,859947	1,550066	0,425566	2,805345	1,430884	2,558928	2,045478	-0,709887	-0,583296	0,240994	1,877656	4,695511	3,174488
1,676335	1,576158	1,953031	0,816290	0,330542	4,397877	-1,124126	-2,338174	1,331351	-0,310143	2,359539	-2,696687	2,044189	-2,334308	1,470504	-1,767710	5,187701	2,580509	3,180608	2,358895	4,105398	2,225540	3,413497	5,524633	-1,500677	2,451986	0,504806	0,132442	0,958987	-1,288082	1,805181	1,510768	0,305095	2,169814	0,446503	0,163043	0,219413	0,088312	-0,894458	1,530095	2,072213	2,912931	0,850434	0,178182	2,845287	1,343913	-0,145221	4,558612	2,930970	2,759927	1,878623	0,968006	0,934506	0,169807	3,585828	-0,388417	2,071891	1,897627	-0,846785	4,171431	-2,402597	2,443933	-0,274710	4,061590	-2,670273	2,737379	0,564719	2,633336	0,205240	3,886682	0,029365	4,075119	4,098633	1,929839	0,736728	0,236807	2,083487	-1,328668	1,681167	3,627058	-0,197725	3,698890	2,219742	-0,216086	3,291415	0,489989	0,946746	2,274823	-0,604877	4,373397	2,436202	-0,294682	1,899238	3,122628	2,407856	-1,348317	0,511570	1,934026	-0,094649	-1,278096	1,875079	0,032264	1,853498	1,562307	1,930483	2,550875	0,486445	2,941599	-3,028787	3,217329	-0,096903	2,421385	1,205404	2,040324	-0,214153	1,334250	0,598219	-0,147153	1,182212	0,277715	-0,385840	1,701782	4,327657	5,734973	5,307850
3,297858	0,278037	0,418479	2,178511	0,923232	2,172713	1,473081	3,365502	-0,136523	0,074783	1,765883	0,720300	-0,988193	3,446352	0,291566	-1,553182	2,879431	1,703715	-0,665757	0,972516	0,776670	3,279175	5,138740	2,298015	0,899074	1,521076	1,982021	-1,510340	1,733671	-1,406942	0,874593	0,219735	1,706614	1,552321	2,285775	-0,752728	-0,392282	1,047246	2,399481	1,437326	-0,489561	0,865896	1,862517	3,539443	0,726742	1,978800	0,991520	-1,437220	1,012780	2,244222	3,504977	-2,906383	1,402860	2,571168	-0,672844	3,541376	-0,404200	1,563917	2,538312	-2,187746	2,607245	3,190594	3,101046	3,941442	0,498041	1,511090	1,006338	1,384500	2,333770	-0,438989	-1,941329	2,534769	-1,074842	1,816777	3,785538	2,486452	0,890054	0,349547	0,311215	3,079786	2,003281	1,896661	2,758316	2,272890	-0,460570	2,657173	0,518012	3,800034	3,084296	0,584368	3,024061	0,370806	2,137602	-1,381495	-1,399533	2,734480	3,457948	1,971069	3,895379	-0,358460	1,741402	3,128748	-0,026360	0,586623	0,041606	1,422509	0,837550	-0,117841	3,013109	1,942723	2,560216	0,948035	2,818552	0,739627	1,700494	-0,210932	4,611761	3,792625	2,219419	0,317980	-1,202077	0,748002	3,025349	3,622227	4,420103
4,248094	2,551197	-0,550118	0,757343	2,195583	2,217487	-0,094649	1,324908	-0,994636	2,323462	3,468256	0,290600	-0,528214	0,734795	1,748811	1,382567	0,863963	1,537182	-0,045043	2,271280	0,017125	1,347134	0,176249	1,236971	1,439259	1,063996	3,390949	-0,395181	1,759118	4,037754	-1,382461	0,303484	0,020024	0,493854	2,537668	-0,687983	0,941593	2,153708	1,398350	-0,784295	2,154030	3,615462	2,329260	3,577453	2,504168	1,370649	2,237780	-0,495037	0,377571	-2,504385	1,020188	0,987977	1,919209	0,891665	4,863332	0,298008	0,619801	1,459230	4,736419	0,781824	1,764272	2,982830	4,789246	0,480647	2,347621	2,829826	3,472766	1,719176	0,561176	1,880233	0,534118	2,242612	4,611439	1,862517	0,384013	-0,753372	3,266935	-0,197725	1,429918	3,994913	2,232304	0,830141	1,885387	0,511892	0,562464	1,638970	1,418966	-0,252807	1,262096	0,438772	3,270478	2,977354	2,024218	1,151933	0,816934	2,902946	-0,416441	1,071727	-0,663824	0,239384	1,893762	0,610137	3,619328	2,095083	3,026960	5,021813	1,984598	3,456982	0,298975	0,687767	-0,127182	4,963510	2,777965	2,290929	0,281903	-1,369577	2,738667	1,190587	3,178998	1,817099	1,274337	1,619965	2,905201	4,405930	4,526079
4,445873	2,830470	-0,648041	1,490153	-0,263114	-1,443019	0,356955	2,455851	-0,611964	1,079135	1,060453	3,388050	-0,457993	-1,073231	0,178182	-0,611964	1,297207	1,283678	0,070918	-0,764002	1,468249	0,528964	-0,173889	-1,434966	1,732061	-0,055351	1,093631	0,860420	-2,126867	1,304937	0,309927	4,505786	1,431206	-0,655771	-2,346871	-0,486662	3,950139	2,136958	1,979444	1,092664	-0,084985	3,104267	0,688411	4,575040	3,592270	0,865252	-2,014771	1,949166	2,015843	-2,587812	0,790843	0,070918	3,477275	-0,597469	2,001992	2,639134	1,499494	-0,706988	0,490633	2,114732	-2,256679	3,522049	3,787471	1,681489	0,534440	0,674882	0,474205	2,921950	0,526387	1,804536	1,078169	0,479037	3,299468	0,397220	1,593874	1,357120	-0,259249	-0,615185	1,490797	1,557797	1,575191	1,038549	0,163043	1,147424	-0,055351	1,406081	2,659427	2,437491	6,626263	3,497891	0,506094	2,187530	0,004563	0,492243	4,093157	4,298344	0,982823	4,520281	2,357929	2,141146	0,481936	2,053853	1,520754	1,953675	0,651690	0,607560	3,191238	2,650730	1,830628	-0,423849	1,491441	0,405273	3,885716	1,343591	2,156285	3,628025	3,465035	2,387885	0,262254	3,471477	3,985894	2,893282	0,365653	3,420261	3,763313
3,762346	-0,208033	0,241639	3,611597	0,110860	-4,314022	4,083494	3,149363	3,968499	3,619005	0,889088	1,887964	0,697430	0,687445	2,134381	-0,644498	1,654753	3,395136	-2,626466	2,094761	-0,032159	0,064154	0,224889	0,866540	1,675369	1,396740	-0,418051	-0,250230	1,852209	0,790199	-0,053740	0,792454	2,729326	-0,414186	0,329576	1,254043	0,942881	0,496109	0,412681	-0,322383	1,953675	1,593874	1,017612	0,135341	1,813878	-0,321417	1,591619	1,398995	1,438293	3,770077	4,966731	-0,397436	0,844958	-0,738877	2,888451	4,615305	-0,091750	2,156607	2,027762	4,677795	0,732540	2,398193	0,942559	1,053366	1,075592	0,573738	2,298337	0,975737	2,020675	0,035808	2,664259	0,098620	4,054182	0,217480	0,942559	1,933382	0,846569	2,038713	1,393197	0,805016	0,455522	2,377900	-1,119938	0,122134	1,166106	2,167559	1,351000	0,208783	3,123272	3,049830	0,230365	0,246792	1,585499	-0,473133	0,311215	3,715318	1,019222	1,285611	2,080910	0,407527	2,367592	3,099757	1,302038	-0,765612	3,920826	5,257278	0,913247	0,227143	1,994906	1,767815	0,136951	1,275625	2,352775	2,001670	0,851401	0,142427	1,489187	3,956903	3,705010	2,848831	2,259684	1,751710	4,750915	2,427183	2,506101
4,648482	2,077045	3,267901	-0,189672	1,527840	1,443124	-0,959525	-0,000913	3,265968	3,329747	0,932251	1,991041	0,097331	1,806469	0,045793	0,114726	3,379353	-0,535301	0,429109	0,491599	-1,685893	2,442645	4,362123	1,713056	0,912924	5,157745	0,924198	0,562464	2,674889	2,768624	0,746069	2,049021	2,720307	4,019715	0,682613	1,551355	0,434907	0,738016	3,637366	-0,123961	1,652176	2,794715	3,651861	1,559730	2,427505	-0,248941	2,341823	0,950612	0,855910	2,358573	-0,590060	2,434270	4,863977	2,547976	2,361472	1,457942	1,015357	0,329898	3,526559	3,307521	-0,764646	0,208783	0,327965	1,434105	2,546043	2,293828	-0,045365	-0,448008	1,165784	2,746398	0,718045	1,803248	-0,488916	-0,020884	2,845609	-0,564613	1,274981	1,259197	4,800520	1,413168	1,483066	-0,017663	0,945136	1,298495	3,396102	1,172548	-0,226393	1,130029	1,071082	4,378229	3,494991	1,620287	2,078656	-0,967900	0,416869	2,986373	0,948357	2,520274	0,573738	3,196714	1,263707	1,973969	4,750592	1,982021	1,704037	-0,029259	1,634460	2,054819	3,143565	-1,184683	-0,582974	0,508349	2,839167	1,948844	5,382580	1,921786	1,724652	3,861235	0,737050	2,066415	1,283678	3,243098	-0,737589	1,923397	0,799862
2,057074	0,641060	1,363240	1,490153	-0,013476	-1,170832	-0,442532	2,700980	1,713700	3,160315	1,012458	-1,040698	0,578892	0,471306	0,536695	1,164173	2,076723	5,134230	3,010210	0,018091	-0,478931	0,449080	0,108605	2,300270	1,099751	1,948844	-0,238312	-0,952439	0,247437	0,953833	0,001341	3,726914	4,690035	1,276269	1,674724	2,704201	0,043538	-1,074520	1,428951	2,485808	0,560532	0,610781	2,962215	0,616257	-2,549481	2,579221	-0,046332	2,658461	2,552163	5,037274	1,479845	3,114253	0,849468	3,294636	-0,989482	1,335216	0,425888	2,729970	1,737537	0,115692	-0,217374	-0,075322	2,542822	-0,884795	-0,534657	2,612721	2,058040	1,298817	0,747680	5,156778	-0,279220	2,039358	0,413970	4,215883	2,017776	4,501276	2,075112	-1,363778	2,280943	2,862359	-0,915718	2,271280	-1,955180	1,781344	-0,494070	-0,587483	2,849797	-0,034413	1,638325	3,879918	-0,404200	2,238102	0,964141	-1,419504	0,456811	0,943525	2,785052	1,093308	-0,433513	1,523975	-2,397121	1,614489	2,500947	0,546036	-1,254260	2,008113	0,747680	0,983467	1,144847	4,074153	2,580187	2,290285	2,162727	1,053688	2,699370	-1,825368	1,476946	3,387083	0,479681	4,672319	2,150809	1,318144	3,996845	2,384020	1,994584
4,719025	-0,304989	3,140344	4,384671	2,305102	0,666507	4,140508	2,328616	3,815817	0,839160	1,537182	0,226499	5,604839	-1,173409	0,567296	-0,010255	2,450375	3,032113	0,347614	0,578248	0,385624	0,634296	1,153866	2,962859	0,416547	0,745103	1,372259	2,122785	2,555707	6,194308	-0,188706	-0,620983	-1,511951	0,954477	2,339568	0,400119	1,757186	1,017934	1,088155	1,629628	2,724172	1,925973	-1,985781	1,968815	3,016008	0,731252	1,052722	3,372910	2,556351	1,099106	2,683586	-0,503412	2,996359	2,041290	1,436682	1,693729	-1,488759	1,384822	-0,127826	0,043860	2,327650	2,199770	3,425093	-0,237667	1,603215	2,215232	0,219091	-0,627103	1,708869	2,076401	2,692283	0,878458	-0,224783	1,085256	1,114246	1,631561	-0,496647	1,215390	-0,816829	1,779089	0,564397	1,427341	1,050145	6,445557	3,209598	1,721109	-0,868689	3,659270	2,252275	2,431048	0,604017	2,746398	2,394972	2,506745	4,977361	3,492092	-0,284052	-0,640310	2,985085	-0,807165	-2,556567	0,622377	3,682140	0,168196	2,103458	3,224416	3,893447	-0,077254	1,794229	3,575520	-1,609874	0,800829	0,604339	2,942888	3,411886	0,490955	2,310256	2,480976	-1,912983	0,027111	1,988464	0,129865	0,648469	2,492894	3,896990
